lat,lng,title,address,phoneNum,services
41.93436684,-87.64598213,Lakeview STI Specialty Clinic,"2861 N. Clark, 2nd Floor",312-744-5507,STI Specialty Clinic
41.68548576,-87.61798987,Roseland  STI Specialty Clinic,200 E. 115th St.,312-747-2831,STI Specialty Clinic
41.84858266,-87.68539419,Alivio Medical Center,2355 S. Western Ave.,773-843-4220,"Women, Infant, Children Clinic"
41.8541501,-87.6532229,Alivio Medical Center - Morgan,966 W. 21st St.,312-829-6838,"Women, Infant, Children Clinic"
41.99060139,-87.69073886,"Asian Human Services Family Health Center, Inc.",2424 W. Peterson Ave.,773-761-2324,"Women, Infant, Children Clinic"
41.9022123,-87.74884541,Austin Clinic,4909 W. Division St.,312-746-4797,"Women, Infant, Children Clinic"
41.72945712,-87.55247782,Chicago Family Health Center,9119 S. Exchange Ave.,"773-768-0373 ext. 1180, 1181, 1182","Women, Infant, Children Clinic"
41.77969238,-87.64142791,Englewood NHC,641 W. 63rd St.,312-747-4814,"Women, Infant, Children Clinic"
41.90311804,-87.68777986,Erie Health Center ,2418 W. Division St.,312-744-8118,"Women, Infant, Children Clinic"
41.89500555,-87.66981323,Erie Health Center ,1701 W. Superior St.,312-432-7372 ,"Women, Infant, Children Clinic"
41.79507521,-87.60609661,Friend Family Health Center Inc.,800 E. 55th St.,773-702-3719,"Women, Infant, Children Clinic"
41.79327456,-87.72766409,Greater Lawn Health Center,4150 W. 55th St.,312-747-5415,"Women, Infant, Children Clinic"
41.84169281,-87.6250831,Henry Booth House,2907 S. Wabash,312-225-1982 ,"Women, Infant, Children Clinic"
41.8582821,-87.66601326,Lower West Side NHC,1713 S. Ashland Ave.,312-743-0600,"Women, Infant, Children Clinic"
41.96536653,-87.65176024,Uptown NHC,845 W. Wilson Ave.,312-744-0073,"Women, Infant, Children Clinic"
41.84804957,-87.70529466,Westside Health Partnership,2400 S. Kedzie Ave.,773-542-0288,"Women, Infant, Children Clinic"
41.87739694,-87.62751493,WIC Main Office,"333 S. State St., 2nd Floor",312-747-9140 ,"Women, Infant, Children Clinic"
